City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,hermanus,-34.4187,19.2345,295.82,95,11,2.9,ZA,1706841836
125,trincomalee,8.5711,81.2335,300.18,78,14,3.38,LK,1706842134
126,port hedland,-20.3167,118.5667,308.18,66,94,7.2,AU,1706842135
127,tarrafal,15.2833,-23.7667,295.59,73,70,5.69,CV,1706842135
128,ilulissat,69.2167,-51.1,249.16,70,40,2.06,GL,1706842136
129,new norfolk,-42.7826,147.0587,292.99,37,21,6.37,AU,1706841876
130,nuku'alofa,-21.1333,-175.2,303.34,79,75,1.54,TO,1706841960
131,tobelo,1.7284,128.0095,301.35,79,97,3.11,ID,1706842137
132,lebu,-37.6167,-73.65,289.1,97,26,3.64,CL,1706842137
133,isafjordur,66.0755,-23.124,274.87,95,100,2.53,IS,1706841833
134,inarajan village,13.2736,144.7484,302.69,81,90,10.23,GU,1706842137
135,saudarkrokur,65.7461,-19.6394,274.82,95,100,1.77,IS,1706842138
136,tiksi,71.6872,128.8694,251.4,97,100,2.0,RU,1706842138
137,richards bay,-28.783,32.0377,293.97,93,5,2.09,ZA,1706842138
138,westport,41.1415,-73.3579,279.9,71,100,1.34,US,1706841851
139,callao,-12.0667,-77.15,300.22,73,0,5.66,PE,1706842139
140,ulsteinvik,62.3432,5.8487,277.65,81,100,4.47,NO,1706842140
141,le port,-20.9373,55.2919,298.15,85,38,2.97,RE,1706842140
142,saipan,15.1355,145.701,301.54,69,40,10.8,MP,1706841818
143,inirida,3.8653,-67.9239,300.31,75,100,0.69,CO,1706842141
144,port alfred,-33.5906,26.891,295.44,90,60,7.09,ZA,1706842141
145,atherton,53.5237,-2.4935,282.83,89,100,1.8,GB,1706842141
146,padang,-0.9492,100.3543,304.18,74,62,1.04,ID,1706842142
147,nova vicosa,-17.8919,-39.3719,297.22,88,14,2.97,BR,1706842142
148,alofi,-19.0595,-169.9187,299.92,81,100,5.68,NU,1706842142
149,holualoa,19.6228,-155.9522,298.58,74,40,3.6,US,1706841835
150,acapulco de juarez,16.8634,-99.8901,301.05,78,100,2.57,MX,1706841925
151,borogontsy,62.6683,131.1683,242.66,96,100,1.24,RU,1706841820
152,coquimbo,-29.9533,-71.3436,291.0,88,0,3.09,CL,1706841940
153,tataouine,32.9297,10.4518,282.88,60,93,3.79,TN,1706842144
154,tazovsky,67.4667,78.7,261.49,94,100,7.98,RU,1706842144
155,boa vista,2.8197,-60.6733,302.14,48,20,3.09,BR,1706842144
156,arkhara,49.4212,130.0842,250.24,93,91,3.13,RU,1706842145
157,carnarvon,-24.8667,113.6333,302.69,60,20,5.16,AU,1706842145
